stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_074,spectralSubtractor,0.8898,1.1676,0.9737,3.0240,0.9737,3.0240,0.9737,3.0240,12.2443
p257_074,mmse,0.8898,1.1676,0.8884,1.4308,0.8640,1.7677,0.8706,1.7563,3.3350
p257_074,wiener,0.8898,1.1676,0.9524,2.8652,0.9518,3.0897,0.9518,3.0897,11.6105
p257_074,omlsa,0.8898,1.1676,0.9579,2.8799,0.9579,2.8799,0.9579,2.8799,11.5218
p257_133,spectralSubtractor,0.8946,1.2057,0.9720,3.2957,0.9720,3.2957,0.9720,3.2957,17.3971
p257_133,mmse,0.8946,1.2057,0.8934,1.2256,0.8240,2.0157,0.8685,1.9978,7.6338
p257_133,wiener,0.8946,1.2057,0.9590,3.1771,0.9590,3.1771,0.9590,3.1771,19.1935
p257_133,omlsa,0.8946,1.2057,0.9611,3.0251,0.9611,3.0251,0.9611,3.0251,19.0062
p257_175,spectralSubtractor,0.8105,1.0945,0.9736,2.7645,0.9736,2.7645,0.9736,2.7645,15.4270
p257_175,mmse,0.8105,1.0945,0.8452,1.2047,0.8199,1.2250,0.8452,1.2047,3.0311
p257_175,wiener,0.8105,1.0945,0.9489,2.5483,0.9465,2.6685,0.9465,2.6685,14.4831
p257_175,omlsa,0.8105,1.0945,0.9581,2.5878,0.9581,2.5878,0.9581,2.5878,14.4006
p257_195,spectralSubtractor,0.8464,1.0953,0.9694,2.8698,0.9305,2.9855,0.9694,2.8698,13.8908
p257_195,mmse,0.8464,1.0953,0.8461,1.3556,0.8425,1.5919,0.8425,1.5919,4.4372
p257_195,wiener,0.8464,1.0953,0.9306,2.7661,0.9206,2.9586,0.9206,2.9586,13.1248
p257_195,omlsa,0.8464,1.0953,0.9337,2.6346,0.9324,2.7164,0.9324,2.7164,13.2982
