stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_074,spectralSubtractor,0.8898,1.1676,0.9115,1.8764,0.9092,1.9584,0.9092,1.9584,7.4661
p257_074,mmse,0.8898,1.1676,0.8884,1.4308,0.8318,1.6974,0.8721,1.6261,5.7258
p257_074,wiener,0.8898,1.1676,0.9130,1.7706,0.8830,2.0222,0.8946,1.9848,6.0698
p257_074,omlsa,0.8898,1.1676,0.9138,1.8060,0.9048,2.0502,0.9048,2.0502,6.7535
p257_133,spectralSubtractor,0.8946,1.2057,0.9346,1.4505,0.9306,2.5557,0.9306,2.5557,18.1244
p257_133,mmse,0.8946,1.2057,0.8934,1.2256,0.8240,2.0157,0.8685,1.9978,7.6338
p257_133,wiener,0.8946,1.2057,0.9354,2.1559,0.9154,2.4899,0.9236,2.4808,17.9400
p257_133,omlsa,0.8946,1.2057,0.9354,2.2980,0.9310,2.5625,0.9310,2.5625,17.8545
p257_175,spectralSubtractor,0.8105,1.0945,0.8308,1.1176,0.7786,1.1785,0.8285,1.1468,7.6406
p257_175,mmse,0.8105,1.0945,0.8164,1.0948,0.7879,1.1492,0.8164,1.0948,4.2465
p257_175,wiener,0.8105,1.0945,0.8301,1.1141,0.7345,1.2703,0.8227,1.1701,7.6419
p257_175,omlsa,0.8105,1.0945,0.8364,1.1446,0.7984,1.2207,0.8351,1.1519,8.4175
p257_195,spectralSubtractor,0.8464,1.0953,0.8636,1.2659,0.8359,1.4942,0.8507,1.4622,9.5731
p257_195,mmse,0.8464,1.0953,0.8438,1.1070,0.8073,1.4482,0.8081,1.4461,6.8434
p257_195,wiener,0.8464,1.0953,0.8546,1.3488,0.8379,1.5352,0.8455,1.5240,9.3472
p257_195,omlsa,0.8464,1.0953,0.8541,1.3031,0.8345,1.5319,0.8489,1.5148,9.4080
