stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_012,spectralSubtractor,0.9654,2.0309,0.9915,4.0583,0.9903,4.0732,0.9903,4.0732,19.1968
p232_012,mmse,0.9654,2.0309,0.9506,1.9438,0.9381,2.3457,0.9381,2.3457,9.7024
p232_012,wiener,0.9654,2.0309,0.9882,3.7450,0.9882,3.7450,0.9882,3.7450,18.8249
p232_012,omlsa,0.9654,2.0309,0.9896,3.9211,0.9896,3.9211,0.9896,3.9211,18.3027
p232_013,spectralSubtractor,0.9443,1.4132,0.9862,3.3937,0.9852,3.4598,0.9852,3.4598,15.6723
p232_013,mmse,0.9443,1.4132,0.9279,1.4505,0.9152,1.7793,0.9152,1.7793,8.2949
p232_013,wiener,0.9443,1.4132,0.9659,2.6341,0.9651,2.8931,0.9651,2.8931,14.5925
p232_013,omlsa,0.9443,1.4132,0.9648,2.8354,0.9647,3.1075,0.9647,3.1075,14.0793
p232_035,spectralSubtractor,0.9699,1.5358,0.9943,3.5496,0.9940,3.7091,0.9940,3.7091,17.3362
p232_035,mmse,0.9699,1.5358,0.9560,1.5908,0.9426,1.9148,0.9525,1.8942,9.8797
p232_035,wiener,0.9699,1.5358,0.9903,3.0974,0.9884,3.2468,0.9884,3.2468,16.7640
p232_035,omlsa,0.9699,1.5358,0.9903,3.2286,0.9893,3.4527,0.9893,3.4527,16.4281
p232_036,spectralSubtractor,0.8187,1.1502,0.9465,2.7181,0.9418,2.8493,0.9418,2.8493,11.7991
p232_036,mmse,0.8187,1.1502,0.8332,1.2894,0.7952,1.3897,0.8314,1.3504,4.0952
p232_036,wiener,0.8187,1.1502,0.9166,2.2990,0.9096,2.4863,0.9096,2.4863,10.8236
p232_036,omlsa,0.8187,1.1502,0.9196,2.4086,0.9171,2.5954,0.9171,2.5954,10.3585
p232_158,spectralSubtractor,0.9621,1.6787,0.9941,3.6909,0.9925,3.8896,0.9925,3.8896,19.3780
p232_158,mmse,0.9621,1.6787,0.9445,1.6935,0.8741,1.9866,0.9379,1.7823,10.7398
p232_158,wiener,0.9621,1.6787,0.9903,3.4964,0.9903,3.4964,0.9903,3.4964,18.3447
p232_158,omlsa,0.9621,1.6787,0.9915,3.3299,0.9909,3.6405,0.9909,3.6405,18.3130
p232_182,spectralSubtractor,0.9172,1.2972,0.9817,2.3922,0.9782,2.7421,0.9782,2.7421,12.0163
p232_182,mmse,0.9172,1.2972,0.9046,1.2847,0.8937,1.4304,0.8937,1.4304,3.8818
p232_182,wiener,0.9172,1.2972,0.9710,1.9538,0.9641,2.3907,0.9698,2.3862,12.5646
p232_182,omlsa,0.9172,1.2972,0.9761,2.2334,0.9698,2.4887,0.9698,2.4887,10.9332
p232_225,spectralSubtractor,0.8644,1.2873,0.9697,3.1859,0.9652,3.2154,0.9652,3.2154,13.8219
p232_225,mmse,0.8644,1.2873,0.8708,1.6813,0.8614,1.8247,0.8614,1.8247,4.1366
p232_225,wiener,0.8644,1.2873,0.9324,2.7328,0.9324,2.7328,0.9324,2.7328,12.4319
p232_225,omlsa,0.8644,1.2873,0.9413,2.8923,0.9413,2.8923,0.9413,2.8923,12.4574
p232_328,spectralSubtractor,0.8356,1.2232,0.9635,2.9433,0.9560,2.9768,0.9560,2.9768,11.7697
p232_328,mmse,0.8356,1.2232,0.8364,1.4293,0.8014,1.5030,0.8364,1.4293,3.8480
p232_328,wiener,0.8356,1.2232,0.9485,2.7116,0.9429,2.8945,0.9429,2.8945,11.1456
p232_328,omlsa,0.8356,1.2232,0.9551,2.8268,0.9537,2.9596,0.9537,2.9596,10.9186
