stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_012,spectralSubtractor,0.9654,2.0309,0.9672,2.5871,0.9656,2.8042,0.9656,2.8042,16.7993
p232_012,mmse,0.9654,2.0309,0.9506,1.9438,0.9381,2.3457,0.9381,2.3457,9.7024
p232_012,wiener,0.9654,2.0309,0.9669,2.5403,0.9653,2.7357,0.9653,2.7357,17.4168
p232_012,omlsa,0.9654,2.0309,0.9671,2.5792,0.9642,2.8269,0.9642,2.8269,17.2455
p232_013,spectralSubtractor,0.9443,1.4132,0.9507,1.8539,0.9445,2.0201,0.9477,2.0139,12.3819
p232_013,mmse,0.9443,1.4132,0.9279,1.4505,0.9152,1.7793,0.9152,1.7793,8.2949
p232_013,wiener,0.9443,1.4132,0.9485,1.6796,0.9242,1.9341,0.9439,1.9174,12.0660
p232_013,omlsa,0.9443,1.4132,0.9493,1.7772,0.9394,2.0228,0.9436,2.0195,12.3425
p232_035,spectralSubtractor,0.9699,1.5358,0.9739,1.9576,0.9720,2.0644,0.9720,2.0644,13.3956
p232_035,mmse,0.9699,1.5358,0.9560,1.5908,0.9426,1.9148,0.9525,1.8942,9.8797
p232_035,wiener,0.9699,1.5358,0.9731,1.8838,0.9482,2.0555,0.9704,2.0375,13.4588
p232_035,omlsa,0.9699,1.5358,0.9734,1.9282,0.9565,2.2209,0.9676,2.1920,14.4325
p232_036,spectralSubtractor,0.8187,1.1502,0.8346,1.2849,0.8125,1.4486,0.8192,1.4474,7.1479
p232_036,mmse,0.8187,1.1502,0.8176,1.2254,0.7952,1.3897,0.8151,1.3264,6.3525
p232_036,wiener,0.8187,1.1502,0.8254,1.2516,0.8086,1.4937,0.8136,1.4764,6.7843
p232_036,omlsa,0.8187,1.1502,0.8414,1.4234,0.8277,1.5525,0.8276,1.5531,9.1767
p232_158,spectralSubtractor,0.9621,1.6787,0.9667,1.7874,0.9647,1.8523,0.9647,1.8523,16.1003
p232_158,mmse,0.9621,1.6787,0.9445,1.6935,0.9261,1.7875,0.9379,1.7823,10.7398
p232_158,wiener,0.9621,1.6787,0.9662,1.8193,0.9100,1.8655,0.9662,1.8193,16.1169
p232_158,omlsa,0.9621,1.6787,0.9694,1.9241,0.9555,2.0354,0.9636,2.0003,16.7154
p232_182,spectralSubtractor,0.9172,1.2972,0.9251,1.4047,0.9240,1.4428,0.9240,1.4428,7.3606
p232_182,mmse,0.9172,1.2972,0.9046,1.2847,0.8599,1.3949,0.8996,1.3160,5.1284
p232_182,wiener,0.9172,1.2972,0.9230,1.3955,0.8741,1.4275,0.9223,1.4104,7.0095
p232_182,omlsa,0.9172,1.2972,0.9250,1.3954,0.8790,1.4464,0.9235,1.4263,7.4627
p232_225,spectralSubtractor,0.8644,1.2873,0.8775,1.5767,0.8669,1.7008,0.8756,1.6672,11.6426
p232_225,mmse,0.8644,1.2873,0.8618,1.2799,0.8015,1.5134,0.8573,1.4374,5.0921
p232_225,wiener,0.8644,1.2873,0.8748,1.5366,0.8348,1.7032,0.8661,1.6532,11.1266
p232_225,omlsa,0.8644,1.2873,0.8778,1.5991,0.8611,1.8505,0.8611,1.8505,11.9918
p232_328,spectralSubtractor,0.8356,1.2232,0.8399,1.3118,0.8280,1.5242,0.8280,1.5242,8.1231
p232_328,mmse,0.8356,1.2232,0.8300,1.2577,0.7517,1.4673,0.8178,1.4223,5.8243
p232_328,wiener,0.8356,1.2232,0.8367,1.3824,0.8052,1.5178,0.8319,1.4547,6.4286
p232_328,omlsa,0.8356,1.2232,0.8412,1.5103,0.8090,1.6751,0.8290,1.6373,7.4295
