stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_014,spectralSubtractor,0.9107,1.2674,0.9804,3.3034,0.9804,3.3034,0.9804,3.3034,15.4736
p232_014,mmse,0.9107,1.2674,0.9013,1.7096,0.8898,1.7420,0.8990,1.7337,6.7716
p232_014,wiener,0.9107,1.2674,0.9636,2.9918,0.9636,2.9918,0.9636,2.9918,15.2333
p232_014,omlsa,0.9107,1.2674,0.9654,2.9570,0.9654,2.9570,0.9654,2.9570,14.4486
p232_068,spectralSubtractor,0.9542,1.9818,0.9874,3.9682,0.9874,3.9682,0.9874,3.9682,16.9773
p232_068,mmse,0.9542,1.9818,0.9301,2.2885,0.9252,2.7151,0.9252,2.7151,6.0576
p232_068,wiener,0.9542,1.9818,0.9767,3.9034,0.9767,3.9034,0.9767,3.9034,17.0228
p232_068,omlsa,0.9542,1.9818,0.9779,3.9431,0.9779,3.9431,0.9779,3.9431,16.1409
p232_266,spectralSubtractor,0.9282,1.8168,0.9808,3.8912,0.9730,3.9852,0.9730,3.9852,17.5758
p232_266,mmse,0.9282,1.8168,0.9106,1.7078,0.9007,2.1039,0.9007,2.1039,8.4998
p232_266,wiener,0.9282,1.8168,0.9578,3.5304,0.9578,3.5304,0.9578,3.5304,17.7147
p232_266,omlsa,0.9282,1.8168,0.9626,3.4220,0.9626,3.4220,0.9626,3.4220,17.8841
p232_291,spectralSubtractor,0.9978,2.1943,0.9993,4.0048,0.9993,4.0286,0.9993,4.0286,22.5848
p232_291,mmse,0.9978,2.1943,0.9685,2.0092,0.9594,2.3558,0.9594,2.3558,4.5591
p232_291,wiener,0.9978,2.1943,0.9982,2.6880,0.9978,4.0127,0.9978,4.0127,22.8956
p232_291,omlsa,0.9978,2.1943,0.9986,3.3208,0.9984,3.8562,0.9984,3.8562,21.3897
p232_292,spectralSubtractor,0.9939,2.7817,0.9989,4.1217,0.9986,4.1764,0.9986,4.1764,24.1992
p232_292,mmse,0.9939,2.7817,0.9670,2.4553,0.9463,2.5418,0.9569,2.5264,7.6550
p232_292,wiener,0.9939,2.7817,0.9980,3.8063,0.9979,4.0752,0.9979,4.0752,24.4766
p232_292,omlsa,0.9939,2.7817,0.9982,3.6200,0.9981,3.8248,0.9981,3.8248,24.3036
p232_308,spectralSubtractor,0.7989,1.3529,0.9459,2.7788,0.9346,3.0358,0.9346,3.0358,14.4259
p232_308,mmse,0.7989,1.3529,0.8086,1.5792,0.7864,1.7191,0.8035,1.6967,7.3124
p232_308,wiener,0.7989,1.3529,0.9071,2.8963,0.8999,2.9160,0.9071,2.8963,14.0647
p232_308,omlsa,0.7989,1.3529,0.9122,2.8139,0.9122,2.8139,0.9122,2.8139,13.8341
p232_368,spectralSubtractor,0.8882,2.0098,0.9757,3.7208,0.9681,3.9223,0.9681,3.9223,18.3753
p232_368,mmse,0.8882,2.0098,0.8653,2.0073,0.8584,2.3173,0.8584,2.3173,7.9137
p232_368,wiener,0.8882,2.0098,0.9381,3.4936,0.9381,3.4936,0.9381,3.4936,18.1313
p232_368,omlsa,0.8882,2.0098,0.9418,3.3371,0.9418,3.3371,0.9418,3.3371,17.7327
p232_369,spectralSubtractor,0.9445,1.3222,0.9881,3.0082,0.9854,3.2965,0.9854,3.2965,14.7028
p232_369,mmse,0.9445,1.3222,0.9359,1.6681,0.9011,1.8176,0.9224,1.7976,6.3139
p232_369,wiener,0.9445,1.3222,0.9802,2.8209,0.9767,3.0809,0.9767,3.0809,13.8752
p232_369,omlsa,0.9445,1.3222,0.9841,2.6878,0.9809,3.1314,0.9809,3.1314,13.3620
