stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_138,spectralSubtractor,0.7667,1.5210,0.8986,3.3092,0.8826,3.4267,0.8826,3.4267,14.1881
p232_138,mmse,0.7667,1.5210,0.7516,1.5728,0.7290,2.0178,0.7399,1.9792,5.1330
p232_138,wiener,0.7667,1.5210,0.8178,2.7336,0.8155,2.8297,0.8155,2.8297,13.7393
p232_138,omlsa,0.7667,1.5210,0.8232,2.8783,0.8232,2.8783,0.8232,2.8783,13.4714
p232_246,spectralSubtractor,0.8849,1.3044,0.9731,3.0981,0.9702,3.1077,0.9731,3.0981,16.0466
p232_246,mmse,0.8849,1.3044,0.8675,1.3272,0.8329,1.5791,0.8622,1.5173,6.0875
p232_246,wiener,0.8849,1.3044,0.9457,2.6224,0.9444,2.7386,0.9444,2.7386,15.2178
p232_246,omlsa,0.8849,1.3044,0.9429,2.5770,0.9414,2.7419,0.9414,2.7419,14.7004
p232_267,spectralSubtractor,0.8836,1.2000,0.9715,3.0381,0.9669,3.0814,0.9669,3.0814,11.8157
p232_267,mmse,0.8836,1.2000,0.8738,1.2476,0.8566,1.5143,0.8566,1.5143,4.1098
p232_267,wiener,0.8836,1.2000,0.9515,2.7270,0.9497,2.8570,0.9497,2.8570,11.0071
p232_267,omlsa,0.8836,1.2000,0.9529,2.8220,0.9529,2.8220,0.9529,2.8220,10.7340
p232_279,spectralSubtractor,0.7916,1.2334,0.9543,2.8263,0.9520,2.8665,0.9520,2.8665,14.0963
p232_279,mmse,0.7916,1.2334,0.7900,1.4979,0.7815,1.5274,0.7900,1.4979,4.6685
p232_279,wiener,0.7916,1.2334,0.9069,2.5537,0.9069,2.5537,0.9069,2.5537,13.3587
p232_279,omlsa,0.7916,1.2334,0.9116,2.4656,0.9116,2.4656,0.9116,2.4656,12.7555
p257_034,spectralSubtractor,0.8878,1.2542,0.9817,3.3772,0.9798,3.3791,0.9817,3.3772,16.9233
p257_034,mmse,0.8878,1.2542,0.8653,1.3148,0.8600,1.6583,0.8600,1.6583,4.9544
p257_034,wiener,0.8878,1.2542,0.9529,3.3044,0.9529,3.3044,0.9529,3.3044,16.8540
p257_034,omlsa,0.8878,1.2542,0.9579,3.2354,0.9579,3.2354,0.9579,3.2354,16.6190
p257_054,spectralSubtractor,0.8118,1.0817,0.9580,2.8020,0.9580,2.8020,0.9580,2.8020,14.0109
p257_054,mmse,0.8118,1.0817,0.8180,1.1204,0.8100,1.4506,0.8100,1.4506,3.1189
