stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_138,spectralSubtractor,0.7667,1.5210,0.7825,2.0712,0.7796,2.1690,0.7796,2.1690,6.0015
p232_138,mmse,0.7667,1.5210,0.7456,1.1713,0.7348,1.2741,0.7348,1.2741,1.7501
p232_138,wiener,0.7667,1.5210,0.7757,1.9868,0.7371,2.1685,0.7739,2.1191,6.0069
p232_138,omlsa,0.7667,1.5210,0.7922,1.5157,0.7506,2.2197,0.7819,2.1809,6.9510
p232_246,spectralSubtractor,0.8849,1.3044,0.8865,1.3752,0.8668,1.5888,0.8740,1.5615,5.6242
p232_246,mmse,0.8849,1.3044,0.8579,1.1838,0.8567,1.2133,0.8567,1.2133,2.1296
p232_246,wiener,0.8849,1.3044,0.8903,1.5035,0.8591,1.6427,0.8846,1.5770,9.0460
p232_246,omlsa,0.8849,1.3044,0.8948,1.2951,0.8444,1.6253,0.8774,1.5841,6.4650
p232_267,spectralSubtractor,0.8836,1.2000,0.8879,1.2403,0.8653,1.3357,0.8836,1.3056,5.3452
p232_267,mmse,0.8836,1.2000,0.8593,1.1189,0.8586,1.1278,0.8586,1.1278,2.4685
p232_267,wiener,0.8836,1.2000,0.8914,1.2637,0.8380,1.3811,0.8905,1.2739,6.7157
p232_267,omlsa,0.8836,1.2000,0.8922,1.2001,0.8469,1.3655,0.8777,1.3387,6.0936
p232_279,spectralSubtractor,0.7916,1.2334,0.7916,1.2334,0.7820,1.2895,0.7910,1.2719,2.5784
p232_279,mmse,0.7916,1.2334,0.7644,1.0976,0.7505,1.1227,0.7634,1.1040,1.1817
p232_279,wiener,0.7916,1.2334,0.7899,1.2814,0.7588,1.3290,0.7899,1.2814,7.4852
p232_279,omlsa,0.7916,1.2334,0.7921,1.2292,0.7578,1.3267,0.7842,1.3021,6.2478
p257_034,spectralSubtractor,0.8878,1.2542,0.8878,1.2541,0.8742,1.8141,0.8767,1.8032,9.0846
p257_034,mmse,0.8878,1.2542,0.8536,1.1040,0.8457,1.1349,0.8536,1.1040,1.0416
p257_034,wiener,0.8878,1.2542,0.8925,1.7279,0.8847,1.8103,0.8865,1.8074,8.2186
p257_034,omlsa,0.8878,1.2542,0.8884,1.2560,0.8759,1.8208,0.8791,1.8144,10.5184
p257_054,spectralSubtractor,0.8118,1.0817,0.8133,1.0968,0.7411,1.3341,0.7671,1.3286,6.6862
p257_054,mmse,0.8118,1.0817,0.7892,1.0468,0.7892,1.0468,0.7892,1.0468,1.4445
p257_054,wiener,0.8118,1.0817,0.7957,1.0998,0.7221,1.3996,0.7648,1.3972,8.1408
p257_054,omlsa,0.8118,1.0817,0.8206,1.0789,0.7553,1.4229,0.7712,1.3971,8.2277
p257_094,spectralSubtractor,0.6835,1.0539,0.7037,1.1144,0.6544,1.2453,0.6993,1.1607,7.3716
p257_094,mmse,0.6835,1.0539,0.6571,1.0429,0.6569,1.0428,0.6571,1.0429,0.6316
p257_094,wiener,0.6835,1.0539,0.7058,1.1674,0.6880,1.3213,0.6894,1.3165,10.0466
p257_094,omlsa,0.6835,1.0539,0.6988,1.1672,0.6695,1.3216,0.6695,1.3216,8.0172
p257_135,spectralSubtractor,0.8938,1.1492,0.8940,1.2068,0.8706,1.2976,0.8872,1.2743,5.2473
p257_135,mmse,0.8938,1.1492,0.8700,1.0647,0.8692,1.0930,0.8692,1.0930,2.2825
p257_135,wiener,0.8938,1.1492,0.8958,1.3125,0.8566,1.3713,0.8953,1.3166,5.8754
p257_135,omlsa,0.8938,1.1492,0.8967,1.1451,0.8631,1.3803,0.8855,1.3377,5.9230
p257_215,spectralSubtractor,0.8772,1.1742,0.8902,1.3794,0.8476,1.5869,0.8623,1.5643,8.0024
p257_215,mmse,0.8772,1.1742,0.8491,1.0783,0.8417,1.0900,0.8491,1.0783,1.7465
p257_215,wiener,0.8772,1.1742,0.8911,1.5530,0.8821,1.6267,0.8862,1.6194,7.6704
p257_215,omlsa,0.8772,1.1742,0.8832,1.5110,0.8599,1.6649,0.8658,1.6464,7.9799
p257_235,spectralSubtractor,0.8568,1.0926,0.8602,1.1058,0.8162,1.3866,0.8162,1.3866,7.3589
p257_235,mmse,0.8568,1.0926,0.8236,1.0509,0.8236,1.0509,0.8236,1.0509,0.9432
p257_235,wiener,0.8568,1.0926,0.8794,1.0807,0.8242,1.5330,0.8664,1.4369,8.3553
p257_235,omlsa,0.8568,1.0926,0.8664,1.0834,0.8232,1.5148,0.8232,1.5148,7.3088
p257_255,spectralSubtractor,0.8218,1.1752,0.8333,1.5423,0.7930,1.7371,0.8253,1.7237,7.3275
p257_255,mmse,0.8218,1.1752,0.7970,1.1111,0.7951,1.1160,0.7970,1.1111,1.6578
p257_255,wiener,0.8218,1.1752,0.8530,1.7987,0.8281,1.9962,0.8389,1.9929,8.1111
p257_255,omlsa,0.8218,1.1752,0.8293,1.6184,0.8134,1.8144,0.8134,1.8144,6.6428
p257_275,spectralSubtractor,0.8967,1.1323,0.8981,1.1737,0.8587,1.3898,0.8587,1.3898,7.0989
p257_275,mmse,0.8967,1.1323,0.8623,1.0709,0.8623,1.0709,0.8623,1.0709,1.8665
p257_275,wiener,0.8967,1.1323,0.9179,1.5227,0.9085,1.6408,0.9134,1.6207,10.5002
p257_275,omlsa,0.8967,1.1323,0.9114,1.1383,0.8710,1.4891,0.8730,1.4872,7.3109
p257_335,spectralSubtractor,0.7970,1.0989,0.8062,1.1486,0.7885,1.4541,0.7921,1.4527,6.7045
p257_335,mmse,0.7970,1.0989,0.7466,1.0477,0.7420,1.0536,0.7460,1.0504,1.8874
p257_335,wiener,0.7970,1.0989,0.8215,1.2880,0.7796,1.5536,0.7864,1.5461,6.7608
p257_335,omlsa,0.7970,1.0989,0.8096,1.2402,0.7823,1.5363,0.7881,1.5339,7.2988
p257_355,spectralSubtractor,0.8846,1.1116,0.8870,1.1282,0.8584,1.4644,0.8584,1.4644,5.0568
p257_355,mmse,0.8846,1.1116,0.8549,1.0685,0.8495,1.0738,0.8549,1.0685,2.1899
p257_355,wiener,0.8846,1.1116,0.8952,1.1406,0.8460,1.4921,0.8896,1.4309,6.0954
p257_355,omlsa,0.8846,1.1116,0.8901,1.0997,0.8554,1.4996,0.8806,1.4379,4.7525
p257_373,spectralSubtractor,0.9358,1.1044,0.9358,1.1044,0.9292,2.1017,0.9292,2.1017,12.0730
p257_373,mmse,0.9358,1.1044,0.8980,1.0853,0.8817,1.0879,0.8980,1.0853,4.1456
p257_373,wiener,0.9358,1.1044,0.9469,2.0008,0.9404,2.2259,0.9420,2.2218,17.0170
p257_373,omlsa,0.9358,1.1044,0.9488,1.8528,0.9306,2.2164,0.9329,2.2154,13.7455
p257_383,spectralSubtractor,0.9145,1.2371,0.9174,1.2796,0.9155,1.3225,0.9166,1.3210,3.3180
p257_383,mmse,0.9145,1.2371,0.8900,1.1258,0.8900,1.1258,0.8900,1.1258,1.7909
p257_383,wiener,0.9145,1.2371,0.9265,1.2582,0.8170,1.4746,0.9112,1.3940,15.7533
p257_383,omlsa,0.9145,1.2371,0.9229,1.2605,0.8902,1.3992,0.9064,1.3837,7.6999
