stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_007,spectralSubtractor,0.9181,1.3859,0.9209,1.4997,0.8967,1.7813,0.9102,1.7616,12.4034
p257_007,mmse,0.9181,1.3859,0.8746,1.2456,0.8429,1.4973,0.8674,1.4710,4.8967
p257_007,wiener,0.9181,1.3859,0.9252,1.5455,0.8965,1.8918,0.9023,1.8698,11.3898
p257_007,omlsa,0.9181,1.3859,0.9181,1.3859,0.8886,1.8942,0.9075,1.8680,11.9222
p257_008,spectralSubtractor,0.9045,1.2483,0.9113,1.3919,0.8930,1.5275,0.9015,1.5157,9.0973
p257_008,mmse,0.9045,1.2483,0.8821,1.3431,0.6275,3.5850,0.6275,3.5850,0.9700
p257_008,wiener,0.9045,1.2483,0.9145,1.4344,0.8617,1.6527,0.8844,1.6343,8.7894
p257_008,omlsa,0.9045,1.2483,0.9056,1.2606,0.8691,1.6469,0.8956,1.6004,9.1466
p257_009,spectralSubtractor,0.7985,1.0849,0.8032,1.0940,0.7593,1.1502,0.8032,1.0981,3.1239
p257_009,mmse,0.7985,1.0849,0.7843,1.0779,0.7396,1.0993,0.7843,1.0779,2.7453
p257_009,wiener,0.7985,1.0849,0.8086,1.0996,0.7442,1.2043,0.8081,1.1070,3.9051
p257_009,omlsa,0.7985,1.0849,0.7991,1.0866,0.7608,1.2242,0.7907,1.1571,6.8647
p257_070,spectralSubtractor,0.6983,1.0886,0.7047,1.1154,0.6791,1.1673,0.7037,1.1373,3.7900
p257_070,mmse,0.6983,1.0886,0.6907,1.1144,0.6662,1.1372,0.6907,1.1144,2.9173
p257_070,wiener,0.6983,1.0886,0.7030,1.1170,0.6846,1.1753,0.7019,1.1382,3.3521
p257_070,omlsa,0.6983,1.0886,0.7024,1.0878,0.6785,1.1947,0.7023,1.1655,4.4196
p257_090,spectralSubtractor,0.6637,1.0543,0.6650,1.0655,0.5667,1.1973,0.6625,1.1162,4.1145
p257_090,mmse,0.6637,1.0543,0.6800,1.0581,0.6443,1.0898,0.6797,1.0623,2.5292
p257_090,wiener,0.6637,1.0543,0.6977,1.1172,0.5945,1.2280,0.6977,1.1172,2.8639
p257_090,omlsa,0.6637,1.0543,0.6827,1.1302,0.6116,1.2178,0.6827,1.1302,5.1599
p257_102,spectralSubtractor,0.8548,1.0988,0.8610,1.1324,0.8050,1.3430,0.8316,1.3271,6.7985
p257_102,mmse,0.8548,1.0988,0.8194,1.0781,0.5709,1.8123,0.8165,1.1136,2.4797
p257_102,wiener,0.8548,1.0988,0.8657,1.1851,0.7981,1.4377,0.8387,1.3924,6.9706
p257_102,omlsa,0.8548,1.0988,0.8601,1.1995,0.8015,1.4550,0.8407,1.3727,7.2047
p257_129,spectralSubtractor,0.7421,1.1742,0.7421,1.1741,0.6771,1.4079,0.7252,1.3382,9.4413
p257_129,mmse,0.7421,1.1742,0.7021,1.1090,0.6784,1.2216,0.6958,1.1751,4.1083
p257_129,wiener,0.7421,1.1742,0.7499,1.2517,0.6955,1.4776,0.7344,1.3955,9.4301
p257_129,omlsa,0.7421,1.1742,0.7438,1.1980,0.7104,1.4698,0.7278,1.4239,10.2260
p257_130,spectralSubtractor,0.7566,1.0977,0.7576,1.1252,0.7237,1.2047,0.7544,1.1474,2.9251
p257_130,mmse,0.7566,1.0977,0.7346,1.0868,0.6153,1.3319,0.7346,1.0868,2.0139
p257_130,wiener,0.7566,1.0977,0.7587,1.1223,0.6792,1.2534,0.7580,1.1255,2.1550
p257_130,omlsa,0.7566,1.0977,0.7580,1.0979,0.7199,1.2453,0.7450,1.1977,4.1205
p257_151,spectralSubtractor,0.6721,1.0362,0.6786,1.0597,0.6286,1.1835,0.6751,1.0845,5.1759
p257_151,mmse,0.6721,1.0362,0.6849,1.0544,0.6078,1.2252,0.6849,1.0544,4.0484
p257_151,wiener,0.6721,1.0362,0.6844,1.0515,0.6097,1.3229,0.6595,1.2153,6.3703
p257_151,omlsa,0.6721,1.0362,0.6890,1.0931,0.6076,1.2518,0.6860,1.1133,6.5255
p257_190,spectralSubtractor,0.8272,1.1884,0.8286,1.2026,0.8069,1.4836,0.8069,1.4836,8.9157
p257_190,mmse,0.8272,1.1884,0.8079,1.1848,0.7511,1.4001,0.7833,1.3783,4.3516
p257_190,wiener,0.8272,1.1884,0.8277,1.2428,0.7959,1.6321,0.8064,1.6177,8.7145
p257_190,omlsa,0.8272,1.1884,0.8299,1.1872,0.8077,1.6452,0.8203,1.6118,9.9681
p257_211,spectralSubtractor,0.7629,1.1037,0.7802,1.1920,0.7749,1.2176,0.7794,1.2062,4.7795
p257_211,mmse,0.7629,1.1037,0.7641,1.1256,0.6123,1.3733,0.7617,1.1465,3.5832
p257_211,wiener,0.7629,1.1037,0.7764,1.1541,0.7313,1.2451,0.7727,1.2189,5.2091
p257_211,omlsa,0.7629,1.1037,0.7849,1.2013,0.7632,1.2373,0.7838,1.2146,4.5493
p257_229,spectralSubtractor,0.8319,1.1245,0.8319,1.1245,0.7775,1.7034,0.7995,1.6708,11.8263
p257_229,mmse,0.8319,1.1245,0.7783,1.1021,0.7685,1.1370,0.7783,1.1021,4.5958
p257_229,wiener,0.8319,1.1245,0.8351,1.1336,0.7775,1.8857,0.7956,1.8314,11.4328
p257_229,omlsa,0.8319,1.1245,0.8352,1.1263,0.7914,1.8113,0.8209,1.7599,13.6346
p257_271,spectralSubtractor,0.7850,1.0887,0.7850,1.0887,0.7513,1.2012,0.7841,1.1292,2.8985
p257_271,mmse,0.7850,1.0887,0.7527,1.1208,0.6628,1.5067,0.7487,1.1531,3.7389
p257_271,wiener,0.7850,1.0887,0.7904,1.1326,0.6991,1.3323,0.7877,1.1727,3.3951
p257_271,omlsa,0.7850,1.0887,0.7897,1.1030,0.7400,1.2114,0.7896,1.1030,2.2813
p257_311,spectralSubtractor,0.7841,1.0533,0.7854,1.0608,0.7297,1.2163,0.7533,1.2080,5.6668
p257_311,mmse,0.7841,1.0533,0.7673,1.0561,0.7189,1.1298,0.7641,1.0765,3.1621
p257_311,wiener,0.7841,1.0533,0.7884,1.0589,0.7374,1.3347,0.7578,1.2680,5.3967
p257_311,omlsa,0.7841,1.0533,0.7858,1.0533,0.7360,1.3151,0.7707,1.2248,5.8858
p257_351,spectralSubtractor,0.7884,1.0717,0.7886,1.0782,0.7795,1.0912,0.7885,1.0808,2.1886
p257_351,mmse,0.7884,1.0717,0.7636,1.0782,0.6704,1.5270,0.6704,1.5270,0.4908
p257_351,wiener,0.7884,1.0717,0.7942,1.0787,0.7314,1.2603,0.7942,1.0787,2.1716
p257_351,omlsa,0.7884,1.0717,0.7936,1.0729,0.7433,1.4729,0.7433,1.4729,3.2745
