stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_007,spectralSubtractor,0.9370,1.5527,0.9370,1.5527,0.9299,1.9623,0.9299,1.9623,12.1148
p232_007,mmse,0.9370,1.5527,0.8922,1.4436,0.8851,1.7359,0.8851,1.7359,5.9991
p232_007,wiener,0.9370,1.5527,0.9377,1.6877,0.9018,2.0560,0.9018,2.0560,9.1932
p232_007,omlsa,0.9370,1.5527,0.9378,1.5509,0.9142,2.0790,0.9182,2.0752,10.7878
p232_009,spectralSubtractor,0.9609,1.8015,0.9609,1.8015,0.9572,1.9853,0.9572,1.9853,7.4400
p232_009,mmse,0.9609,1.8015,0.9183,1.4918,0.9129,1.8057,0.9129,1.8057,5.2188
p232_009,wiener,0.9609,1.8015,0.9615,1.8709,0.9312,2.0811,0.9312,2.0811,7.4320
p232_009,omlsa,0.9609,1.8015,0.9629,1.7936,0.9371,2.0841,0.9446,2.0827,7.8743
p232_010,spectralSubtractor,0.7850,1.2195,0.7920,1.2269,0.7681,1.2656,0.7911,1.2436,3.1342
p232_010,mmse,0.7850,1.2195,0.7783,1.2255,0.7537,1.2386,0.7783,1.2255,3.0317
p232_010,wiener,0.7850,1.2195,0.7912,1.2335,0.7583,1.2645,0.7883,1.2482,2.2497
p232_010,omlsa,0.7850,1.2195,0.7880,1.2164,0.7611,1.2920,0.7827,1.2594,3.9481
p232_032,spectralSubtractor,0.7706,1.1111,0.7743,1.1377,0.7566,1.1976,0.7720,1.1628,3.3050
p232_032,mmse,0.7706,1.1111,0.7604,1.1401,0.7341,1.1971,0.7563,1.1683,3.7555
p232_032,wiener,0.7706,1.1111,0.7730,1.1319,0.7469,1.2108,0.7709,1.1481,3.1416
p232_032,omlsa,0.7706,1.1111,0.7740,1.1108,0.7464,1.2205,0.7658,1.1946,4.3297
p232_043,spectralSubtractor,0.8529,1.6020,0.8530,1.6015,0.8305,1.8675,0.8370,1.8658,9.2591
p232_043,mmse,0.8529,1.6020,0.8130,1.5284,0.7933,1.6667,0.8098,1.6561,6.2394
p232_043,wiener,0.8529,1.6020,0.8539,1.6857,0.8205,1.9592,0.8268,1.9560,9.6881
p232_043,omlsa,0.8529,1.6020,0.8628,1.5984,0.8272,1.9994,0.8342,1.9912,10.6171
p232_044,spectralSubtractor,0.7909,1.1204,0.7911,1.1211,0.7442,1.5751,0.7672,1.5247,2.3382
p232_044,mmse,0.7909,1.1204,0.7605,1.1120,0.6865,1.4309,0.7268,1.4235,2.2636
p232_044,wiener,0.7909,1.1204,0.7924,1.2994,0.7232,1.6784,0.7584,1.6203,2.4525
p232_044,omlsa,0.7909,1.1204,0.7952,1.1211,0.7384,1.6392,0.7718,1.5634,2.3576
p232_052,spectralSubtractor,0.7323,1.1540,0.7323,1.1540,0.6953,1.2100,0.7319,1.1807,2.3983
p232_052,mmse,0.7323,1.1540,0.7262,1.1056,0.6610,1.2168,0.7151,1.1920,4.2840
p232_052,wiener,0.7323,1.1540,0.7381,1.1777,0.6692,1.2205,0.7381,1.1810,2.7494
p232_052,omlsa,0.7323,1.1540,0.7409,1.1561,0.6842,1.2218,0.7388,1.1659,2.2263
p232_072,spectralSubtractor,0.7470,1.1551,0.7474,1.2082,0.7243,1.3173,0.7350,1.2910,3.3569
p232_072,mmse,0.7470,1.1551,0.7324,1.1453,0.7016,1.1972,0.7304,1.1698,2.9528
p232_072,wiener,0.7470,1.1551,0.7502,1.1686,0.7073,1.3024,0.7269,1.2883,3.8294
p232_072,omlsa,0.7470,1.1551,0.7604,1.1524,0.7171,1.3159,0.7312,1.3067,3.5147
p232_155,spectralSubtractor,0.7429,1.1427,0.7429,1.1426,0.7129,1.1893,0.7428,1.1614,1.9860
p232_155,mmse,0.7429,1.1427,0.7102,1.1473,0.5397,1.2419,0.7102,1.1473,3.3843
p232_155,wiener,0.7429,1.1427,0.7447,1.1498,0.7069,1.1931,0.7445,1.1566,1.8169
p232_155,omlsa,0.7429,1.1427,0.7499,1.1424,0.7167,1.2064,0.7499,1.1443,1.4739
p232_263,spectralSubtractor,0.7855,1.1394,0.7960,1.1857,0.7719,1.2144,0.7957,1.1969,3.6886
p232_263,mmse,0.7855,1.1394,0.7705,1.1570,0.7658,1.1631,0.7705,1.1570,3.2244
p232_263,wiener,0.7855,1.1394,0.7876,1.1540,0.7829,1.2397,0.7829,1.2397,5.0217
p232_263,omlsa,0.7855,1.1394,0.7959,1.2083,0.7803,1.2415,0.7959,1.2083,5.0462
p232_275,spectralSubtractor,0.8983,1.3051,0.9005,1.4445,0.8803,1.5755,0.8907,1.5514,3.0823
p232_275,mmse,0.8983,1.3051,0.8615,1.1988,0.8570,1.3081,0.8570,1.3081,2.2724
p232_275,wiener,0.8983,1.3051,0.9034,1.4242,0.8611,1.6234,0.9017,1.4949,3.5047
p232_275,omlsa,0.8983,1.3051,0.9000,1.3330,0.8725,1.6789,0.8765,1.6713,3.6999
p232_386,spectralSubtractor,0.7414,1.2107,0.7431,1.2537,0.7278,1.3189,0.7403,1.3014,2.8059
p232_386,mmse,0.7414,1.2107,0.7316,1.2102,0.6920,1.2875,0.7316,1.2102,2.9516
p232_386,wiener,0.7414,1.2107,0.7448,1.2537,0.7000,1.3714,0.7401,1.2787,2.5255
p232_386,omlsa,0.7414,1.2107,0.7436,1.2259,0.7116,1.3848,0.7358,1.3420,3.6636
