stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_014,spectralSubtractor,0.9107,1.2674,0.9182,1.5049,0.9079,1.6876,0.9079,1.6876,6.4736
p232_014,mmse,0.9107,1.2674,0.8857,1.5004,0.5230,1.7268,0.8786,1.6155,4.9687
p232_014,wiener,0.9107,1.2674,0.9216,1.5150,0.8925,1.7512,0.8925,1.7512,7.0713
p232_014,omlsa,0.9107,1.2674,0.9139,1.2940,0.9013,1.8117,0.9057,1.8064,7.5286
p232_068,spectralSubtractor,0.9542,1.9818,0.9542,1.9819,0.9322,2.3745,0.9407,2.3570,3.2933
p232_068,mmse,0.9542,1.9818,0.8946,1.1600,0.8545,2.2453,0.8608,2.2194,2.8149
p232_068,wiener,0.9542,1.9818,0.9543,2.1414,0.9527,2.6970,0.9527,2.6970,7.7083
p232_068,omlsa,0.9542,1.9818,0.9541,1.9823,0.9354,2.8297,0.9387,2.8217,4.6175
p232_266,spectralSubtractor,0.9282,1.8168,0.9295,2.1469,0.9274,2.2136,0.9274,2.2136,7.9854
p232_266,mmse,0.9282,1.8168,0.8847,1.1458,0.8811,1.8785,0.8811,1.8785,5.0625
p232_266,wiener,0.9282,1.8168,0.9351,2.1171,0.8994,2.3059,0.9333,2.2550,11.8912
p232_266,omlsa,0.9282,1.8168,0.9382,1.8082,0.9046,2.3288,0.9258,2.2694,12.4216
p232_291,spectralSubtractor,0.9978,2.1943,0.9978,2.1943,0.9926,2.5970,0.9926,2.5970,1.9892
p232_291,mmse,0.9978,2.1943,0.9559,1.2986,0.9136,1.8879,0.9300,1.8640,1.1766
p232_291,wiener,0.9978,2.1943,0.9981,2.4615,0.9672,2.7433,0.9975,2.6283,1.9323
p232_291,omlsa,0.9978,2.1943,0.9981,2.2790,0.9797,2.8467,0.9852,2.8400,5.3672
p232_292,spectralSubtractor,0.9939,2.7817,0.9939,2.7816,0.9873,2.8680,0.9873,2.8680,15.2857
p232_292,mmse,0.9939,2.7817,0.9766,1.6842,0.9174,2.3935,0.9174,2.3935,4.4973
p232_292,wiener,0.9939,2.7817,0.9946,2.8451,0.9580,2.8846,0.9943,2.8813,15.9736
p232_292,omlsa,0.9939,2.7817,0.9944,2.7672,0.9549,2.8947,0.9942,2.7941,15.8144
p232_308,spectralSubtractor,0.7989,1.3529,0.8113,1.5350,0.7930,1.5749,0.8103,1.5745,5.4449
p232_308,mmse,0.7989,1.3529,0.7851,1.4788,0.7764,1.5581,0.7766,1.5570,5.2696
p232_308,wiener,0.7989,1.3529,0.8133,1.5292,0.8051,1.5969,0.8082,1.5840,4.4274
p232_308,omlsa,0.7989,1.3529,0.8152,1.5846,0.8044,1.6687,0.8105,1.6588,7.9741
p232_368,spectralSubtractor,0.8882,2.0098,0.8882,2.0098,0.8452,2.3898,0.8759,2.3447,9.0877
p232_368,mmse,0.8882,2.0098,0.8244,1.7494,0.8173,2.0040,0.8238,1.9847,4.8008
p232_368,wiener,0.8882,2.0098,0.9034,2.2594,0.8688,2.5076,0.8721,2.5058,9.9212
p232_368,omlsa,0.8882,2.0098,0.9051,2.0068,0.8732,2.5353,0.8760,2.5284,10.0556
p232_369,spectralSubtractor,0.9445,1.3222,0.9527,1.5162,0.9358,1.7885,0.9452,1.7809,6.2386
p232_369,mmse,0.9445,1.3222,0.9081,1.3891,0.8924,1.5236,0.9058,1.5045,3.5589
p232_369,wiener,0.9445,1.3222,0.9556,1.5459,0.9288,1.8619,0.9288,1.8619,6.9687
p232_369,omlsa,0.9445,1.3222,0.9473,1.3754,0.9201,1.8876,0.9392,1.8451,6.7340
p257_012,spectralSubtractor,0.9614,1.5912,0.9614,1.5912,0.9483,1.9167,0.9506,1.9066,8.8713
p257_012,mmse,0.9614,1.5912,0.9174,1.3731,0.9122,1.5286,0.9122,1.5286,3.7919
p257_012,wiener,0.9614,1.5912,0.9650,2.0687,0.9644,2.1100,0.9644,2.1100,11.0065
p257_012,omlsa,0.9614,1.5912,0.9629,1.6191,0.9336,2.1831,0.9435,2.1614,10.8024
p257_174,spectralSubtractor,0.9153,1.2191,0.9158,1.2720,0.8812,2.0298,0.8984,2.0142,10.1876
p257_174,mmse,0.9153,1.2191,0.8709,1.2119,0.8005,1.2318,0.8705,1.2195,3.0033
p257_174,wiener,0.9153,1.2191,0.9243,2.1714,0.8780,2.2795,0.9237,2.2328,11.5219
p257_174,omlsa,0.9153,1.2191,0.9165,1.2109,0.9030,2.4341,0.9030,2.4341,13.7381
p257_179,spectralSubtractor,0.9296,1.5455,0.9296,1.5461,0.8751,2.2271,0.8883,2.1952,4.2113
p257_179,mmse,0.9296,1.5455,0.8670,1.1036,0.8429,1.5532,0.8429,1.5532,1.5092
p257_179,wiener,0.9296,1.5455,0.9312,1.7337,0.8807,2.6384,0.8928,2.5847,10.8206
p257_179,omlsa,0.9296,1.5455,0.9339,1.5396,0.8926,2.6395,0.9087,2.6148,8.0319
p257_199,spectralSubtractor,0.2715,1.1088,0.2886,1.1169,0.2411,1.7882,0.2411,1.7882,-3.5217
p257_199,mmse,0.2715,1.1088,0.3167,1.0464,0.2598,1.5937,0.2598,1.5937,-2.6883
p257_199,wiener,0.2715,1.1088,0.2774,1.1081,0.2650,1.8615,0.2650,1.8615,-3.8616
p257_199,omlsa,0.2715,1.1088,0.2811,1.3367,0.2684,1.9091,0.2773,1.8718,-3.7566
p257_202,spectralSubtractor,0.8906,1.4730,0.8906,1.4730,0.8738,1.5782,0.8738,1.5782,6.7141
p257_202,mmse,0.8906,1.4730,0.8555,1.1390,0.2171,1.2982,0.8506,1.2424,3.3742
p257_202,wiener,0.8906,1.4730,0.8971,1.5574,0.8553,1.9808,0.8553,1.9808,7.8903
p257_202,omlsa,0.8906,1.4730,0.8905,1.4728,0.8678,1.8805,0.8678,1.8805,8.7011
