stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_014,spectralSubtractor,0.9107,1.2674,0.9675,2.8824,0.9594,3.0045,0.9594,3.0045,15.2827
p232_014,mmse,0.9107,1.2674,0.8857,1.5004,0.5230,1.7268,0.8786,1.6155,4.9687
p232_014,wiener,0.9107,1.2674,0.9656,2.8636,0.9576,2.9082,0.9576,2.9082,15.5793
p232_014,omlsa,0.9107,1.2674,0.9635,2.7944,0.9635,2.7944,0.9635,2.7944,16.8035
p232_068,spectralSubtractor,0.9542,1.9818,0.9790,3.5178,0.9746,3.7656,0.9746,3.7656,17.2722
p232_068,mmse,0.9542,1.9818,0.8946,1.1600,0.8545,2.2453,0.8608,2.2194,2.8149
p232_068,wiener,0.9542,1.9818,0.9770,3.5816,0.9710,3.6442,0.9710,3.6442,17.1633
p232_068,omlsa,0.9542,1.9818,0.9746,3.5806,0.9709,3.7188,0.9709,3.7188,16.5779
p232_266,spectralSubtractor,0.9282,1.8168,0.9650,2.9953,0.9634,3.6487,0.9634,3.6487,19.4290
p232_266,mmse,0.9282,1.8168,0.8859,1.3296,0.8811,1.8785,0.8811,1.8785,5.0625
p232_266,wiener,0.9282,1.8168,0.9626,3.5930,0.9626,3.5930,0.9626,3.5930,18.8983
p232_266,omlsa,0.9282,1.8168,0.9623,3.3482,0.9623,3.3482,0.9623,3.3482,18.8547
p232_291,spectralSubtractor,0.9978,2.1943,0.9988,3.9837,0.9988,3.9837,0.9988,3.9837,23.0146
p232_291,mmse,0.9978,2.1943,0.9559,1.2986,0.9136,1.8879,0.9300,1.8640,1.1766
p232_291,wiener,0.9978,2.1943,0.9985,3.9044,0.9985,3.9044,0.9985,3.9044,23.3854
p232_291,omlsa,0.9978,2.1943,0.9986,3.6079,0.9986,3.7486,0.9986,3.7486,21.3937
p232_292,spectralSubtractor,0.9939,2.7817,0.9981,3.7625,0.9978,4.0547,0.9978,4.0547,24.7775
p232_292,mmse,0.9939,2.7817,0.9766,1.6842,0.9174,2.3935,0.9174,2.3935,4.4973
p232_292,wiener,0.9939,2.7817,0.9978,3.7240,0.9975,3.8727,0.9975,3.8727,25.3266
p232_292,omlsa,0.9939,2.7817,0.9978,3.4482,0.9972,3.6690,0.9972,3.6690,25.2233
p232_308,spectralSubtractor,0.7989,1.3529,0.9127,2.6521,0.9119,2.6535,0.9127,2.6521,13.3626
p232_308,mmse,0.7989,1.3529,0.8264,1.6755,0.8104,1.7204,0.8255,1.6901,5.1485
p232_308,wiener,0.7989,1.3529,0.9099,2.6922,0.9099,2.6922,0.9099,2.6922,13.3038
p232_308,omlsa,0.7989,1.3529,0.9062,2.4717,0.9045,2.4918,0.9045,2.4918,12.7753
p232_368,spectralSubtractor,0.8882,2.0098,0.9513,3.2898,0.9467,3.3468,0.9467,3.3468,18.5779
p232_368,mmse,0.8882,2.0098,0.8244,1.7494,0.8173,2.0040,0.8238,1.9847,4.8008
p232_368,wiener,0.8882,2.0098,0.9551,3.5046,0.9486,3.6284,0.9486,3.6284,18.6867
p232_368,omlsa,0.8882,2.0098,0.9421,3.3303,0.9409,3.3584,0.9409,3.3584,18.4697
p232_369,spectralSubtractor,0.9445,1.3222,0.9808,2.8238,0.9736,3.0675,0.9736,3.0675,14.7156
p232_369,mmse,0.9445,1.3222,0.9081,1.3891,0.8924,1.5236,0.9058,1.5045,3.5589
p232_369,wiener,0.9445,1.3222,0.9805,2.7426,0.9745,2.8873,0.9745,2.8873,15.0642
p232_369,omlsa,0.9445,1.3222,0.9805,2.7439,0.9753,2.7926,0.9753,2.7926,14.5158
p257_012,spectralSubtractor,0.9614,1.5912,0.9897,3.6478,0.9897,3.6478,0.9897,3.6478,21.4815
p257_012,mmse,0.9614,1.5912,0.9174,1.3731,0.9122,1.5286,0.9122,1.5286,3.7919
p257_012,wiener,0.9614,1.5912,0.9871,3.3890,0.9849,3.5382,0.9849,3.5382,20.3446
p257_012,omlsa,0.9614,1.5912,0.9870,3.6908,0.9870,3.6908,0.9870,3.6908,20.6847
p257_174,spectralSubtractor,0.9153,1.2191,0.9718,3.2729,0.9605,3.3058,0.9715,3.2842,21.9478
p257_174,mmse,0.9153,1.2191,0.8843,1.1923,0.8005,1.2318,0.8843,1.1923,2.0526
p257_174,wiener,0.9153,1.2191,0.9727,3.7506,0.9662,3.7991,0.9662,3.7991,20.7923
p257_174,omlsa,0.9153,1.2191,0.9652,3.0534,0.9627,3.1329,0.9627,3.1329,21.0223
p257_179,spectralSubtractor,0.9296,1.5455,0.9870,3.3034,0.9829,3.5250,0.9829,3.5250,20.6858
p257_179,mmse,0.9296,1.5455,0.8997,1.3287,0.8429,1.5532,0.8951,1.4136,1.7532
p257_179,wiener,0.9296,1.5455,0.9838,3.4515,0.9826,3.6491,0.9826,3.6491,20.7882
p257_179,omlsa,0.9296,1.5455,0.9787,3.3972,0.9770,3.5783,0.9770,3.5783,19.6901
p257_199,spectralSubtractor,0.2715,1.1088,0.4732,1.0922,0.2411,1.7882,0.4713,1.1090,-1.1382
p257_199,mmse,0.2715,1.1088,0.4211,1.0978,0.2598,1.5937,0.4167,1.1504,-0.4172
p257_199,wiener,0.2715,1.1088,0.4509,1.1143,0.2650,1.8615,0.4509,1.1143,0.1449
p257_199,omlsa,0.2715,1.1088,0.4129,1.1147,0.2684,1.9091,0.2773,1.8718,-3.7566
p257_202,spectralSubtractor,0.8906,1.4730,0.9570,3.9268,0.9570,3.9268,0.9570,3.9268,20.2399
p257_202,mmse,0.8906,1.4730,0.8609,1.2586,0.2171,1.2982,0.8582,1.2940,2.0369
p257_202,wiener,0.8906,1.4730,0.9547,3.5379,0.9485,3.8000,0.9485,3.8000,18.9516
p257_202,omlsa,0.8906,1.4730,0.9448,3.6057,0.9390,3.8150,0.9409,3.8105,19.4283
