stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_012,spectralSubtractor,0.9614,1.5912,0.9897,3.6478,0.9897,3.6478,0.9897,3.6478,21.4815
p257_012,mmse,0.9614,1.5912,0.8980,1.3386,0.8839,1.3692,0.8980,1.3386,2.0250
p257_012,wiener,0.9614,1.5912,0.9871,3.3890,0.9849,3.5382,0.9849,3.5382,20.3446
p257_012,omlsa,0.9614,1.5912,0.9870,3.6908,0.9870,3.6908,0.9870,3.6908,20.6847
p257_174,spectralSubtractor,0.9153,1.2191,0.9718,3.2729,0.9605,3.3058,0.9715,3.2842,21.9478
p257_174,mmse,0.9153,1.2191,0.8843,1.1923,0.8593,1.1966,0.8843,1.1923,2.0526
p257_174,wiener,0.9153,1.2191,0.9727,3.7506,0.9662,3.7991,0.9662,3.7991,20.7923
p257_174,omlsa,0.9153,1.2191,0.9652,3.0534,0.9627,3.1329,0.9627,3.1329,21.0223
p257_179,spectralSubtractor,0.9296,1.5455,0.9870,3.3034,0.9829,3.5250,0.9829,3.5250,20.6858
p257_179,mmse,0.9296,1.5455,0.8997,1.3287,0.8872,1.4341,0.8951,1.4136,1.7532
p257_179,wiener,0.9296,1.5455,0.9838,3.4515,0.9826,3.6491,0.9826,3.6491,20.7882
p257_179,omlsa,0.9296,1.5455,0.9787,3.3972,0.9770,3.5783,0.9770,3.5783,19.6901
p257_199,spectralSubtractor,0.2715,1.1088,0.4732,1.0922,0.4261,1.1372,0.4713,1.1090,-1.1382
p257_199,mmse,0.2715,1.1088,0.4211,1.0978,0.3916,1.1691,0.4167,1.1504,-0.4172
p257_199,wiener,0.2715,1.1088,0.4509,1.1143,0.4509,1.1143,0.4509,1.1143,0.1449
p257_199,omlsa,0.2715,1.1088,0.4129,1.1147,0.3933,1.1193,0.4129,1.1147,0.0259
p257_202,spectralSubtractor,0.8906,1.4730,0.9570,3.9268,0.9570,3.9268,0.9570,3.9268,20.2399
p257_202,mmse,0.8906,1.4730,0.8609,1.2586,0.8582,1.2940,0.8582,1.2940,2.0369
p257_202,wiener,0.8906,1.4730,0.9547,3.5379,0.9485,3.8000,0.9485,3.8000,18.9516
p257_202,omlsa,0.8906,1.4730,0.9448,3.6057,0.9390,3.8150,0.9409,3.8105,19.4283
