stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_012,spectralSubtractor,0.9614,1.5912,0.9614,1.5912,0.9483,1.9167,0.9506,1.9066,8.8713
p257_012,mmse,0.9614,1.5912,0.9174,1.3731,0.9122,1.5286,0.9122,1.5286,3.7919
p257_012,wiener,0.9614,1.5912,0.9650,2.0687,0.9644,2.1100,0.9644,2.1100,11.0065
p257_012,omlsa,0.9614,1.5912,0.9635,1.6244,0.9332,2.1811,0.9426,2.1644,10.8965
p257_174,spectralSubtractor,0.9153,1.2191,0.9158,1.2720,0.8812,2.0298,0.8984,2.0142,10.1876
p257_174,mmse,0.9153,1.2191,0.8709,1.2119,0.8005,1.2318,0.8705,1.2195,3.0033
p257_174,wiener,0.9153,1.2191,0.9243,2.1714,0.8780,2.2795,0.9237,2.2328,11.5219
p257_174,omlsa,0.9153,1.2191,0.9165,1.2049,0.9056,2.4237,0.9056,2.4237,13.4302
p257_179,spectralSubtractor,0.9296,1.5455,0.9296,1.5461,0.8751,2.2271,0.8883,2.1952,4.2113
p257_179,mmse,0.9296,1.5455,0.8670,1.1036,0.8429,1.5532,0.8429,1.5532,1.5092
p257_179,wiener,0.9296,1.5455,0.9312,1.7337,0.8807,2.6384,0.8928,2.5847,10.8206
p257_179,omlsa,0.9296,1.5455,0.9343,1.5364,0.8946,2.6478,0.9078,2.6332,8.5342
p257_199,spectralSubtractor,0.2715,1.1088,0.2886,1.1169,0.2411,1.7882,0.2411,1.7882,-3.5217
p257_199,mmse,0.2715,1.1088,0.3167,1.0464,0.2598,1.5937,0.2598,1.5937,-2.6883
p257_199,wiener,0.2715,1.1088,0.2774,1.1081,0.2650,1.8615,0.2650,1.8615,-3.8616
p257_199,omlsa,0.2715,1.1088,0.2826,1.2015,0.2684,1.9091,0.2750,1.9007,-4.1800
p257_202,spectralSubtractor,0.8906,1.4730,0.8906,1.4730,0.8738,1.5782,0.8738,1.5782,6.7141
p257_202,mmse,0.8906,1.4730,0.8555,1.1390,0.2171,1.2982,0.8506,1.2424,3.3742
p257_202,wiener,0.8906,1.4730,0.8971,1.5574,0.8553,1.9808,0.8553,1.9808,7.8903
p257_202,omlsa,0.8906,1.4730,0.8905,1.4727,0.8674,1.9131,0.8674,1.9131,8.6770
