stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p232_007,spectralSubtractor,0.9370,1.5527,0.9819,3.3892,0.9819,3.3892,0.9819,3.3892,18.9977
p232_007,mmse,0.9370,1.5527,0.8512,1.5300,0.8473,1.5585,0.8474,1.5584,3.5037
p232_007,wiener,0.9370,1.5527,0.9796,3.0781,0.9796,3.0781,0.9796,3.0781,18.6745
p232_007,omlsa,0.9370,1.5527,0.9734,3.1165,0.9734,3.1165,0.9733,3.1172,18.7988
p232_009,spectralSubtractor,0.9609,1.8015,0.9845,3.6257,0.9845,3.6257,0.9845,3.6257,19.3631
p232_009,mmse,0.9609,1.8015,0.8597,1.4551,0.8596,1.4558,0.8596,1.4558,2.7430
p232_009,wiener,0.9609,1.8015,0.9837,3.1369,0.9834,3.1827,0.9834,3.1827,19.0582
p232_009,omlsa,0.9609,1.8015,0.9808,3.3364,0.9808,3.3364,0.9808,3.3364,18.9828
p232_010,spectralSubtractor,0.7850,1.2195,0.9393,2.0710,0.9358,2.1124,0.9358,2.1124,10.4892
p232_010,mmse,0.7850,1.2195,0.8745,1.3824,0.8626,1.3885,0.8745,1.3825,5.9736
p232_010,wiener,0.7850,1.2195,0.9353,2.0181,0.9353,2.0181,0.9353,2.0181,11.5244
p232_010,omlsa,0.7850,1.2195,0.9214,1.9068,0.9214,1.9068,0.9214,1.9068,11.4138
p232_032,spectralSubtractor,0.7706,1.1111,0.9259,1.7649,0.9103,2.3053,0.9103,2.3053,10.2392
p232_032,mmse,0.7706,1.1111,0.8745,1.3103,0.8631,1.3143,0.8745,1.3103,6.4036
p232_032,wiener,0.7706,1.1111,0.9089,1.9230,0.9089,1.9230,0.9089,1.9230,10.7831
p232_032,omlsa,0.7706,1.1111,0.9041,1.9117,0.8977,1.9416,0.8977,1.9416,9.6615
p232_043,spectralSubtractor,0.8529,1.6020,0.9259,2.4724,0.8740,2.6461,0.9198,2.6180,13.9116
p232_043,mmse,0.8529,1.6020,0.7998,1.3275,0.7883,1.3349,0.7998,1.3275,3.1785
p232_043,wiener,0.8529,1.6020,0.8859,2.3633,0.8850,2.7825,0.8850,2.7825,15.7097
p232_043,omlsa,0.8529,1.6020,0.8829,2.5971,0.8761,2.6072,0.8829,2.5971,15.7836
p232_044,spectralSubtractor,0.7909,1.1204,0.8906,2.3926,0.8540,2.6826,0.8590,2.6724,16.1327
p232_044,mmse,0.7909,1.1204,0.7895,1.2732,0.7860,1.3195,0.7863,1.3194,3.7999
p232_044,wiener,0.7909,1.1204,0.8621,2.5563,0.8605,2.6279,0.8605,2.6279,14.8406
p232_044,omlsa,0.7909,1.1204,0.8534,2.5435,0.8534,2.5435,0.8534,2.5435,15.5378
p232_052,spectralSubtractor,0.7323,1.1540,0.9141,1.8499,0.8940,2.2223,0.8940,2.2223,10.5696
p232_052,mmse,0.7323,1.1540,0.8696,1.3159,0.8555,1.3414,0.8696,1.3159,6.1667
p232_052,wiener,0.7323,1.1540,0.8960,2.1308,0.8960,2.1308,0.8960,2.1308,11.3425
p232_052,omlsa,0.7323,1.1540,0.8829,2.0350,0.8829,2.0350,0.8829,2.0350,11.1598
p232_072,spectralSubtractor,0.7470,1.1551,0.9059,1.9837,0.8834,2.4688,0.8834,2.4688,11.9214
p232_072,mmse,0.7470,1.1551,0.8276,1.4190,0.8272,1.4494,0.8272,1.4494,5.9679
p232_072,wiener,0.7470,1.1551,0.8861,2.2069,0.8805,2.3465,0.8805,2.3465,11.6307
p232_072,omlsa,0.7470,1.1551,0.8724,2.2681,0.8722,2.2795,0.8722,2.2795,12.2541
p232_155,spectralSubtractor,0.7429,1.1427,0.9235,2.2870,0.9179,2.3368,0.9179,2.3368,11.0756
p232_155,mmse,0.7429,1.1427,0.8410,1.3434,0.8043,1.3674,0.8410,1.3434,5.6646
p232_155,wiener,0.7429,1.1427,0.9183,2.1470,0.9183,2.1470,0.9183,2.1470,11.5808
p232_155,omlsa,0.7429,1.1427,0.9086,2.1581,0.9067,2.1729,0.9067,2.1729,11.3704
p232_263,spectralSubtractor,0.7855,1.1394,0.9394,2.4030,0.9394,2.4030,0.9394,2.4030,13.7121
p232_263,mmse,0.7855,1.1394,0.8402,1.2814,0.8306,1.3155,0.8402,1.2814,4.4539
p232_263,wiener,0.7855,1.1394,0.9389,2.4029,0.9249,2.4307,0.9389,2.4029,13.4644
p232_263,omlsa,0.7855,1.1394,0.9251,2.1743,0.9251,2.1743,0.9251,2.1743,13.2808
p232_275,spectralSubtractor,0.8983,1.3051,0.9780,2.8619,0.9731,2.9721,0.9731,2.9721,15.4885
p232_275,mmse,0.8983,1.3051,0.8706,1.2620,0.8694,1.2942,0.8694,1.2942,3.5907
p232_275,wiener,0.8983,1.3051,0.9712,2.8858,0.9712,2.8858,0.9712,2.8858,17.0960
p232_275,omlsa,0.8983,1.3051,0.9719,2.7845,0.9719,2.7845,0.9719,2.7845,16.7490
p232_386,spectralSubtractor,0.7414,1.2107,0.9051,2.0787,0.8876,2.1849,0.8988,2.1778,11.5326
p232_386,mmse,0.7414,1.2107,0.8355,1.5016,0.8355,1.5016,0.8355,1.5016,6.3413
p232_386,wiener,0.7414,1.2107,0.9011,2.0921,0.9011,2.0921,0.9011,2.0921,11.2737
p232_386,omlsa,0.7414,1.2107,0.8816,2.0366,0.8802,2.0413,0.8816,2.0366,11.2250
p257_007,spectralSubtractor,0.9181,1.3859,0.9741,2.8895,0.9726,3.1865,0.9726,3.1865,18.1637
p257_007,mmse,0.9181,1.3859,0.8591,1.2676,0.8520,1.2964,0.8575,1.2796,3.1436
p257_007,wiener,0.9181,1.3859,0.9691,2.8137,0.9676,2.9785,0.9676,2.9785,17.7553
p257_007,omlsa,0.9181,1.3859,0.9661,2.9667,0.9658,2.9944,0.9658,2.9944,17.9232
p257_008,spectralSubtractor,0.9045,1.2483,0.9715,2.7883,0.9668,2.9867,0.9668,2.9867,15.0009
p257_008,mmse,0.9045,1.2483,0.8578,1.3605,0.8503,1.3765,0.8577,1.3612,4.5442
p257_008,wiener,0.9045,1.2483,0.9677,2.7158,0.9677,2.7158,0.9677,2.7158,15.3018
p257_008,omlsa,0.9045,1.2483,0.9619,2.7888,0.9619,2.7888,0.9619,2.7888,15.1625
p257_009,spectralSubtractor,0.7985,1.0849,0.9480,2.4262,0.9457,2.6381,0.9457,2.6381,14.7739
p257_009,mmse,0.7985,1.0849,0.8392,1.1939,0.7828,1.2279,0.8390,1.1949,3.8567
p257_009,wiener,0.7985,1.0849,0.9433,2.3433,0.9348,2.4144,0.9348,2.4144,14.3398
p257_009,omlsa,0.7985,1.0849,0.9366,2.3355,0.9327,2.3451,0.9366,2.3355,15.1403
p257_070,spectralSubtractor,0.6983,1.0886,0.9151,2.2188,0.9151,2.2188,0.9151,2.2188,13.2957
p257_070,mmse,0.6983,1.0886,0.8449,1.2884,0.7849,1.3081,0.8449,1.2884,3.9335
p257_070,wiener,0.6983,1.0886,0.9134,2.2014,0.9134,2.2014,0.9134,2.2014,12.9632
p257_070,omlsa,0.6983,1.0886,0.8874,2.0720,0.8874,2.0720,0.8874,2.0720,12.8758
p257_090,spectralSubtractor,0.6637,1.0543,0.8711,1.4897,0.8656,1.8900,0.8656,1.8900,12.0449
p257_090,mmse,0.6637,1.0543,0.7856,1.1789,0.7507,1.2528,0.7856,1.1789,3.2714
p257_090,wiener,0.6637,1.0543,0.8655,1.9301,0.8655,1.9301,0.8655,1.9301,11.9498
p257_090,omlsa,0.6637,1.0543,0.8348,1.6656,0.8280,1.7129,0.8280,1.7129,11.1939
p257_102,spectralSubtractor,0.8548,1.0988,0.9619,2.8409,0.9611,2.8843,0.9611,2.8843,16.4492
p257_102,mmse,0.8548,1.0988,0.8546,1.1483,0.7953,1.2935,0.8535,1.1600,3.6493
p257_102,wiener,0.8548,1.0988,0.9602,2.8517,0.9602,2.8517,0.9602,2.8517,16.8723
p257_102,omlsa,0.8548,1.0988,0.9518,2.6658,0.9518,2.6658,0.9518,2.6658,16.5177
p257_129,spectralSubtractor,0.7421,1.1742,0.9290,2.9046,0.9245,2.9920,0.9245,2.9920,16.6590
p257_129,mmse,0.7421,1.1742,0.8009,1.3291,0.7540,1.3912,0.8009,1.3291,3.3972
p257_129,wiener,0.7421,1.1742,0.9240,2.8354,0.9240,2.8354,0.9240,2.8354,17.1076
p257_129,omlsa,0.7421,1.1742,0.9031,2.8398,0.9031,2.8398,0.9031,2.8398,16.3881
p257_130,spectralSubtractor,0.7566,1.0977,0.9175,2.0901,0.9164,2.1752,0.9164,2.1752,12.7423
p257_130,mmse,0.7566,1.0977,0.8261,1.1777,0.7840,1.1904,0.8261,1.1777,3.0142
p257_130,wiener,0.7566,1.0977,0.9155,1.9818,0.8936,2.0234,0.9155,1.9818,12.8220
p257_130,omlsa,0.7566,1.0977,0.9015,1.9907,0.8960,1.9950,0.9015,1.9907,12.6863
p257_151,spectralSubtractor,0.6721,1.0362,0.8973,1.5120,0.8804,2.2201,0.8804,2.2201,12.9577
p257_151,mmse,0.6721,1.0362,0.8300,1.1699,0.7625,1.2889,0.8300,1.1699,3.6976
p257_151,wiener,0.6721,1.0362,0.8873,2.2221,0.8873,2.2221,0.8873,2.2221,12.6854
p257_151,omlsa,0.6721,1.0362,0.8555,1.9693,0.8548,1.9762,0.8548,1.9762,12.2404
p257_190,spectralSubtractor,0.8272,1.1884,0.9531,2.5457,0.9411,2.5866,0.9513,2.5609,15.4713
p257_190,mmse,0.8272,1.1884,0.8597,1.2972,0.8146,1.3849,0.8595,1.2993,4.1069
p257_190,wiener,0.8272,1.1884,0.9509,2.6758,0.9509,2.6758,0.9509,2.6758,15.1566
p257_190,omlsa,0.8272,1.1884,0.9323,2.5016,0.9323,2.5016,0.9323,2.5016,15.0575
p257_211,spectralSubtractor,0.7629,1.1037,0.9220,1.8711,0.9207,2.1641,0.9207,2.1641,11.9661
p257_211,mmse,0.7629,1.1037,0.8543,1.3045,0.8543,1.3045,0.8543,1.3045,5.0215
p257_211,wiener,0.7629,1.1037,0.9191,2.1648,0.9191,2.1648,0.9191,2.1648,12.0843
p257_211,omlsa,0.7629,1.1037,0.8979,1.9869,0.8979,1.9869,0.8979,1.9869,12.0406
p257_229,spectralSubtractor,0.8319,1.1245,0.9580,2.9266,0.9559,3.1155,0.9559,3.1155,20.0409
p257_229,mmse,0.8319,1.1245,0.8045,1.1440,0.7982,1.1564,0.8045,1.1440,2.9807
p257_229,wiener,0.8319,1.1245,0.9536,2.9584,0.9493,3.1346,0.9493,3.1346,19.5665
p257_229,omlsa,0.8319,1.1245,0.9378,2.8230,0.9366,2.9042,0.9366,2.9042,19.8051
p257_271,spectralSubtractor,0.7850,1.0887,0.9392,1.9077,0.9304,2.3268,0.9304,2.3268,12.6434
p257_271,mmse,0.7850,1.0887,0.8761,1.3781,0.8457,1.4259,0.8761,1.3783,5.6397
p257_271,wiener,0.7850,1.0887,0.9401,2.2466,0.9275,2.2785,0.9401,2.2466,12.9094
p257_271,omlsa,0.7850,1.0887,0.9252,2.1672,0.9252,2.1672,0.9252,2.1672,12.7961
p257_311,spectralSubtractor,0.7841,1.0533,0.9312,1.7584,0.9220,2.5068,0.9220,2.5068,15.5758
p257_311,mmse,0.7841,1.0533,0.8264,1.0894,0.7857,1.2048,0.8210,1.1346,2.5284
p257_311,wiener,0.7841,1.0533,0.9242,2.4488,0.9242,2.4488,0.9242,2.4488,15.3481
p257_311,omlsa,0.7841,1.0533,0.9045,2.4127,0.9045,2.4127,0.9045,2.4127,15.1669
p257_351,spectralSubtractor,0.7884,1.0717,0.9392,1.2143,0.9356,2.3831,0.9356,2.3831,13.6330
p257_351,mmse,0.7884,1.0717,0.8396,1.1226,0.8105,1.2917,0.8107,1.2917,3.9428
p257_351,wiener,0.7884,1.0717,0.9363,2.2931,0.9363,2.2931,0.9363,2.2931,13.3650
p257_351,omlsa,0.7884,1.0717,0.9159,2.2620,0.9159,2.2620,0.9159,2.2620,13.3323
